symptom_id,symptom_name,symptom_category,associated_dosha,severity_level,body_system,description,synonyms
S0001,Headache,Neurological,Vata,Moderate,Neurological,Ayurvedic symptom primarily affecting Vata dosha,Alt-Headache|Var-Headache
S0002,Joint Pain,Musculoskeletal,Pitta,Severe,Musculoskeletal,Ayurvedic symptom primarily affecting Pitta dosha,Alt-Joint Pain|Var-Joint Pain
S0003,Indigestion,Digestive,Kapha,Mild,Digestive,Ayurvedic symptom primarily affecting Kapha dosha,Alt-Indigestion|Var-Indigestion
S0004,Constipation,Digestive,Vata,Moderate,Digestive,Ayurvedic symptom primarily affecting Vata dosha,Alt-Constipation|Var-Constipation
S0005,Diarrhea,Digestive,Pitta,Severe,Digestive,Ayurvedic symptom primarily affecting Pitta dosha,Alt-Diarrhea|Var-Diarrhea
S0006,Acidity,Digestive,Kapha,Mild,Digestive,Ayurvedic symptom primarily affecting Kapha dosha,Alt-Acidity|Var-Acidity
S0007,Gas Formation,Digestive,Vata,Moderate,Digestive,Ayurvedic symptom primarily affecting Vata dosha,Alt-Gas Formation|Var-Gas Formation
S0008,Nausea,Digestive,Pitta,Severe,Digestive,Ayurvedic symptom primarily affecting Pitta dosha,Alt-Nausea|Var-Nausea
S0009,Vomiting,Digestive,Kapha,Mild,Digestive,Ayurvedic symptom primarily affecting Kapha dosha,Alt-Vomiting|Var-Vomiting
S0010,Loss of Appetite,Digestive,Vata,Moderate,Digestive,Ayurvedic symptom primarily affecting Vata dosha,Alt-Loss of Appetite|Var-Loss of Appetite
S0011,Fatigue,General,Pitta,Severe,General,Ayurvedic symptom primarily affecting Pitta dosha,Alt-Fatigue|Var-Fatigue
S0012,Weakness,General,Kapha,Mild,General,Ayurvedic symptom primarily affecting Kapha dosha,Alt-Weakness|Var-Weakness
S0013,Insomnia,Neurological,Vata,Moderate,Neurological,Ayurvedic symptom primarily affecting Vata dosha,Alt-Insomnia|Var-Insomnia
S0014,Anxiety,Mental,Pitta,Severe,Mental,Ayurvedic symptom primarily affecting Pitta dosha,Alt-Anxiety|Var-Anxiety
S0015,Depression,Mental,Kapha,Mild,Mental,Ayurvedic symptom primarily affecting Kapha dosha,Alt-Depression|Var-Depression
S0016,Stress,Mental,Vata,Moderate,Mental,Ayurvedic symptom primarily affecting Vata dosha,Alt-Stress|Var-Stress
S0017,High Blood Pressure,Cardiovascular,Pitta,Severe,Cardiovascular,Ayurvedic symptom primarily affecting Pitta dosha,Alt-High Blood Pressure|Var-High Blood Pressure
S0018,Diabetes,Metabolic,Kapha,Mild,Metabolic,Ayurvedic symptom primarily affecting Kapha dosha,Alt-Diabetes|Var-Diabetes
S0019,Obesity,Metabolic,Vata,Moderate,Metabolic,Ayurvedic symptom primarily affecting Vata dosha,Alt-Obesity|Var-Obesity
S0020,Weight Loss,Metabolic,Pitta,Severe,Metabolic,Ayurvedic symptom primarily affecting Pitta dosha,Alt-Weight Loss|Var-Weight Loss
S0021,Cough,Respiratory,Kapha,Mild,Respiratory,Ayurvedic symptom primarily affecting Kapha dosha,Alt-Cough|Var-Cough
S0022,Cold,Respiratory,Vata,Moderate,Respiratory,Ayurvedic symptom primarily affecting Vata dosha,Alt-Cold|Var-Cold
S0023,Fever,General,Pitta,Severe,General,Ayurvedic symptom primarily affecting Pitta dosha,Alt-Fever|Var-Fever
S0024,Skin Rash,Dermatological,Kapha,Mild,Dermatological,Ayurvedic symptom primarily affecting Kapha dosha,Alt-Skin Rash|Var-Skin Rash
S0025,Acne,Dermatological,Vata,Moderate,Dermatological,Ayurvedic symptom primarily affecting Vata dosha,Alt-Acne|Var-Acne
S0026,Eczema,Dermatological,Pitta,Severe,Dermatological,Ayurvedic symptom primarily affecting Pitta dosha,Alt-Eczema|Var-Eczema
S0027,Psoriasis,Dermatological,Kapha,Mild,Dermatological,Ayurvedic symptom primarily affecting Kapha dosha,Alt-Psoriasis|Var-Psoriasis
S0028,Hair Fall,Dermatological,Vata,Moderate,Dermatological,Ayurvedic symptom primarily affecting Vata dosha,Alt-Hair Fall|Var-Hair Fall
S0029,Dandruff,Dermatological,Pitta,Severe,Dermatological,Ayurvedic symptom primarily affecting Pitta dosha,Alt-Dandruff|Var-Dandruff
S0030,Memory Loss,Neurological,Kapha,Mild,Neurological,Ayurvedic symptom primarily affecting Kapha dosha,Alt-Memory Loss|Var-Memory Loss
S0031,Concentration Issues,Neurological,Vata,Moderate,Neurological,Ayurvedic symptom primarily affecting Vata dosha,Alt-Concentration Issues|Var-Concentration Issues
S0032,Back Pain,Musculoskeletal,Pitta,Severe,Musculoskeletal,Ayurvedic symptom primarily affecting Pitta dosha,Alt-Back Pain|Var-Back Pain
S0033,Neck Pain,Musculoskeletal,Kapha,Mild,Musculoskeletal,Ayurvedic symptom primarily affecting Kapha dosha,Alt-Neck Pain|Var-Neck Pain
S0034,Muscle Cramps,Musculoskeletal,Vata,Moderate,Musculoskeletal,Ayurvedic symptom primarily affecting Vata dosha,Alt-Muscle Cramps|Var-Muscle Cramps
S0035,Arthritis,Musculoskeletal,Pitta,Severe,Musculoskeletal,Ayurvedic symptom primarily affecting Pitta dosha,Alt-Arthritis|Var-Arthritis
S0036,Gout,Musculoskeletal,Kapha,Mild,Musculoskeletal,Ayurvedic symptom primarily affecting Kapha dosha,Alt-Gout|Var-Gout
S0037,Kidney Stones,Urological,Vata,Moderate,Urological,Ayurvedic symptom primarily affecting Vata dosha,Alt-Kidney Stones|Var-Kidney Stones
S0038,UTI,Urological,Pitta,Severe,Urological,Ayurvedic symptom primarily affecting Pitta dosha,Alt-UTI|Var-UTI
S0039,Irregular Periods,Reproductive,Kapha,Mild,Reproductive,Ayurvedic symptom primarily affecting Kapha dosha,Alt-Irregular Periods|Var-Irregular Periods
S0040,Heavy Menstrual Flow,Reproductive,Vata,Moderate,Reproductive,Ayurvedic symptom primarily affecting Vata dosha,Alt-Heavy Menstrual Flow|Var-Heavy Menstrual Flow
S0041,PCOD,Reproductive,Pitta,Severe,Reproductive,Ayurvedic symptom primarily affecting Pitta dosha,Alt-PCOD|Var-PCOD
S0042,Infertility,Reproductive,Kapha,Mild,Reproductive,Ayurvedic symptom primarily affecting Kapha dosha,Alt-Infertility|Var-Infertility
S0043,Low Libido,Reproductive,Vata,Moderate,Reproductive,Ayurvedic symptom primarily affecting Vata dosha,Alt-Low Libido|Var-Low Libido
S0044,Erectile Dysfunction,Reproductive,Pitta,Severe,Reproductive,Ayurvedic symptom primarily affecting Pitta dosha,Alt-Erectile Dysfunction|Var-Erectile Dysfunction
S0045,Premature Ejaculation,Reproductive,Kapha,Mild,Reproductive,Ayurvedic symptom primarily affecting Kapha dosha,Alt-Premature Ejaculation|Var-Premature Ejaculation
S0046,Asthma,Respiratory,Vata,Moderate,Respiratory,Ayurvedic symptom primarily affecting Vata dosha,Alt-Asthma|Var-Asthma
S0047,Bronchitis,Respiratory,Pitta,Severe,Respiratory,Ayurvedic symptom primarily affecting Pitta dosha,Alt-Bronchitis|Var-Bronchitis
S0048,Allergic Rhinitis,Respiratory,Kapha,Mild,Respiratory,Ayurvedic symptom primarily affecting Kapha dosha,Alt-Allergic Rhinitis|Var-Allergic Rhinitis
S0049,Sinusitis,Respiratory,Vata,Moderate,Respiratory,Ayurvedic symptom primarily affecting Vata dosha,Alt-Sinusitis|Var-Sinusitis
